state,year,mean_max_temp_c,annual_rainfall_mm
NSW,1990,22.3,1984.5
NSW,1991,22.9,1147
NSW,1992,21.7,1405.5
NSW,1993,22.5,888.4
NSW,1994,22.6,848.3
NSW,1995,21.8,1189.5
NSW,1996,22.1,1115.3
NSW,1997,22.4,1123.8
NSW,1998,22.7,1806.5
NSW,1999,22.1,null
NSW,2000,22.6,null
NSW,2001,22.8,null
NSW,2002,22.9,880.6
NSW,2003,22.5,1282.2
NSW,2004,23.2,null
NSW,2005,23.4,null
NSW,2006,23,null
NSW,2007,23,null
NSW,2008,22.4,null
NSW,2009,23.4,null
NSW,2010,22.9,null
NSW,2011,22.6,null
NSW,2012,22.9,null
NSW,2013,24.1,1527.6
NSW,2014,23.6,null
NSW,2015,23.4,null
NSW,2016,24.1,1495.3
NSW,2017,24.1,1186.6
NSW,2018,23.9,1046.3
NSW,2019,24.5,915.8
NSW,2020,23.6,1544.5
NSW,2021,22.8,1393.5
NSW,2022,22.4,null
NSW,2023,23.9,1067.1
NSW,2024,23.8,null
VIC,1990,20,791.6
VIC,1991,19.5,937.5
VIC,1992,18.6,1033.5
VIC,1993,19.6,1072.4
VIC,1994,19.6,598.1
VIC,1995,18.6,987
VIC,1996,18.7,1011.8
VIC,1997,19.8,515.7
VIC,1998,19.4,844.1
VIC,1999,20,null
VIC,2000,20.1,null
VIC,2001,19.8,null
VIC,2002,20.3,552.5
VIC,2003,20.1,null
VIC,2004,19.6,null
VIC,2005,20.9,752.8
VIC,2006,20.2,537.4
VIC,2007,21.3,607.9
VIC,2008,20.4,592.1
VIC,2009,20.9,null
VIC,2010,20.1,890.2
VIC,2011,19.8,null
VIC,2012,20.1,799.3
VIC,2013,20.7,null
VIC,2014,20.9,null
VIC,2015,20.5,null
VIC,2016,20.3,820
VIC,2017,20.8,714
VIC,2018,20.9,null
VIC,2019,21,533.3
VIC,2020,19.8,946.2
VIC,2021,19.8,821.9
VIC,2022,19.7,882.1
VIC,2023,20.5,null
VIC,2024,21.1,727.3
QLD,1990,26.7,1372.4
QLD,1991,28,920.3
QLD,1992,26.5,1387.8
QLD,1993,27.8,689.1
QLD,1994,27.1,1048
QLD,1995,26.9,1089.9
QLD,1996,27.1,1539
QLD,1997,27.2,1114.3
QLD,1998,27.5,851.4
QLD,1999,26.1,1474
QLD,2000,27.3,579.6
QLD,2001,27.4,984.8
QLD,2002,28.3,706.4
QLD,2003,27,943.3
QLD,2004,27.8,1053
QLD,2005,28.2,757.1
QLD,2006,27.7,700.8
QLD,2007,27.4,741.2
QLD,2008,26.4,1373.8
QLD,2009,27.8,1360.6
QLD,2010,26.1,1767.8
QLD,2011,26.3,1261
QLD,2012,27,1363.8
QLD,2013,27.4,1320.2
QLD,2014,28,809.7
QLD,2015,27.1,1379
QLD,2016,28,1054.6
QLD,2017,28,null
QLD,2018,28.1,940.5
QLD,2019,29.3,578.5
QLD,2020,28.1,1089.3
QLD,2021,27,1522
QLD,2022,26.3,2252.3
QLD,2023,28.3,741
QLD,2024,27.9,1511.3
SA,1990,21.7,459.8
SA,1991,21.6,463.8
SA,1992,20.5,832
SA,1993,21.6,484.7
SA,1994,21.3,312.2
SA,1995,21.3,429.4
SA,1996,21,550.8
SA,1997,21.3,480.2
SA,1998,21.2,496.5
SA,1999,21.8,533.2
SA,2000,21.9,548.4
SA,2001,21.4,598.1
SA,2002,21.7,348.6
SA,2003,21.7,523.2
SA,2004,21.7,null
SA,2005,22.1,573.2
SA,2006,22.3,270.4
SA,2007,23,null
SA,2008,22,363.6
SA,2009,22.7,485.7
SA,2010,21.6,541.4
SA,2011,22.1,461.6
SA,2012,22,486
SA,2013,22.6,458.6
SA,2014,22.6,484.4
SA,2015,22.2,338.2
SA,2016,21.8,737
SA,2017,22.4,499.1
SA,2018,22.6,379.3
SA,2019,22.4,null
SA,2020,21.5,425.4
SA,2021,21.5,439.1
SA,2022,21.3,null
SA,2023,21.7,null
SA,2024,22.5,null
WA,1990,23.5,704.8
WA,1991,24.5,903.8
WA,1992,23.8,960
WA,1993,23.9,666
WA,1994,25.3,609
WA,1995,24.6,793.2
WA,1996,25,889.2
WA,1997,24.9,653
WA,1998,25.3,684.2
WA,1999,25.6,793
WA,2000,25.2,707
WA,2001,24.8,623
WA,2002,25.2,648.2
WA,2003,25.3,810.2
WA,2004,25.2,609.2
WA,2005,24.2,820
WA,2006,25.4,479.6
WA,2007,25,692.6
WA,2008,24.8,828.2
WA,2009,25.5,615.8
WA,2010,26,483.4
WA,2011,26.1,835.8
WA,2012,25.7,649.4
WA,2013,25.8,704
WA,2014,25.7,620.8
WA,2015,26,578.2
WA,2016,24.4,674.4
WA,2017,25.3,729.4
WA,2018,25.1,743.8
WA,2019,26.1,532
WA,2020,25.7,636.2
WA,2021,25.3,799
WA,2022,25.5,668.6
WA,2023,26.2,554
WA,2024,27.1,619.4
TAS,1990,17.6,569.2
TAS,1991,17.2,570.6
TAS,1992,16.4,535.2
TAS,1993,17.9,648
TAS,1994,17.4,455
TAS,1995,16.4,642.2
TAS,1996,16.4,749.6
TAS,1997,17.1,527.8
TAS,1998,17.1,590.8
TAS,1999,17.6,450.2
TAS,2000,17.8,454.6
TAS,2001,17.4,681.8
TAS,2002,17.6,465.4
TAS,2003,17.4,642.8
TAS,2004,16.8,579.4
TAS,2005,17.6,670.2
TAS,2006,17,346.6
TAS,2007,17.8,549.8
TAS,2008,17.9,407.2
TAS,2009,17.6,865
TAS,2010,18.2,524
TAS,2011,17.5,690.6
TAS,2012,18.1,476.6
TAS,2013,18.1,609.8
TAS,2014,18.3,484.2
TAS,2015,17.7,528.4
TAS,2016,18.2,693.6
TAS,2017,18.5,493.2
TAS,2018,18.2,585.2
TAS,2019,18.7,385
TAS,2020,17.7,656.2
TAS,2021,17.7,null
TAS,2022,17.6,700
TAS,2023,18.4,422.8
TAS,2024,18.4,603.8
NT,1990,32.2,1343.4
NT,1991,31.8,1975.6
NT,1992,32.3,1407.4
NT,1993,32.3,1569
NT,1994,32.1,1580.6
NT,1995,31.8,2455.4
NT,1996,32.4,1803.6
NT,1997,32,2282.8
NT,1998,32.9,2776.6
NT,1999,31.8,1892
NT,2000,31.6,2140.8
NT,2001,32.1,1443.8
NT,2002,32.7,1214.4
NT,2003,32.6,1968.2
NT,2004,32.1,1778.2
NT,2005,32.8,1360.2
NT,2006,31.8,1803
NT,2007,32.2,1808.4
NT,2008,32.5,1962.7
NT,2009,32.7,1742.4
NT,2010,32.6,2257.2
NT,2011,31.6,2686
NT,2012,32.3,1723.7
NT,2013,32.7,1759.4
NT,2014,32.6,1547.4
NT,2015,32.6,1743.8
NT,2016,33.2,1355
NT,2017,32.8,2197
NT,2018,32.8,1914.2
NT,2019,33,1074
NT,2020,33.1,1749.8
NT,2021,33,1779.8
NT,2022,32.9,1972.2
NT,2023,32.9,1365
NT,2024,33,1982.4
ACT,1990,19.6,718.6
ACT,1991,20.2,748.3
ACT,1992,18.4,883.1
ACT,1993,20,755.6
ACT,1994,20.2,421.5
ACT,1995,19.2,847.7
ACT,1996,19.2,734.2
ACT,1997,20.8,489.5
ACT,1998,20.2,796
ACT,1999,19.9,774.8
ACT,2000,19.6,721.3
ACT,2001,20.1,581.6
ACT,2002,20.9,525.5
ACT,2003,19.8,673.5
ACT,2004,20.7,522.3
ACT,2005,null,704.8
ACT,2006,null,407.8
ACT,2007,20,686.7
ACT,2008,19.3,563.9
ACT,2009,20.6,532.5
ACT,2010,19.2,null
ACT,2011,19.2,697.6
ACT,2012,19.1,808.7
ACT,2013,20.6,563.8
ACT,2014,20.5,637.1
ACT,2015,19.9,642
ACT,2016,20.2,912.9
ACT,2017,20.6,571.8
ACT,2018,20.9,441.9
ACT,2019,21.3,372.8
ACT,2020,19.4,862.4
ACT,2021,18.5,1102.2
ACT,2022,17.9,1021.5
ACT,2023,20.3,717.5
ACT,2024,20.3,583.5