state,year,temp,type
Australian Capital Territory,2024,35.3,max
Australian Capital Territory,2024,-6.9,min
Northern Territory,2024,14.7,min
Northern Territory,2024,36.9,max
Tasmania,2024,35.5,max
Tasmania,2024,0.9,min
Western Australia,2024,3.3,min
Western Australia,2024,43.4,max
Southern Australia,2024,41.2,max
Southern Australia,2024,0.6,min
Queensland,2024,6.3,min
Queensland,2024,35.7,max
Victoria,2024,39.4,max
Victoria,2024,1.6,min
New South Wales,2024,5.7,min
New South Wales,2024,37.1,max