Year,Total Precipitation (millimetres)
1977,376.4
1978,588.2
1979,661.6
1980,527
1981,672
1982,356.6
1983,693
1984,518
1985,560.8
1986,605
1987,576.2
1988,545.2
1989,501.8
1990,481.8
1991,507.6
1992,883.2
1993,526.4
1994,371.4
1995,494.2
1996,599.4
1997,498.6
1998,546
1999,628.8
2000,643.8
2001,716
2002,378.4
2003,609.2
2004,580.2
2005,629.6
2006,287.6
2007,465
2008,402.4
2009,517.2
2010,592.6
2011,537.8
2012,527.2
2013,507.4
2014,534.2
2015,380.4
2016,820.8
2017,536.2
2018,427.4
2019,374
2020,240.2
Grand Total,23426.8
Average,532.4272727