Row Labels,Sum of Monthly Precipitation Total (millimetres)
1941,1547.7
1942,1686.8
1943,1566
1944,1559.3
1945,1716
1946,1024.7
1947,1672.2
1948,1303.9
1949,1680.6
1950,1809
1951,1152.2
1952,1104.4
1953,1698.3
1954,1893.1
1955,1735.5
1956,2307
1957,1883.9
1958,1076.9
1959,1552.1
1960,1755.7
1961,1120.8
1962,1621.8
1963,1333.7
1964,1703.5
1965,1554.4
1966,1369.6
1967,1627.3
1968,2121.2
1969,1946.6
1970,1224.4
1971,1972.5
1972,1491.5
1973,1666.7
1974,2643.9
1975,1909.8
1976,1562.7
1977,2385.1
1978,1734.4
1979,1197.1
1980,1844.8
1981,2164.4
1982,1494.6
1983,1886.2
1984,1948.8
1985,1233.8
1986,1737.8
1987,1977.8
1988,1853
1989,1480.4
1990,1343.4
1991,1975.6
1992,1407.4
1993,1569
1994,1580.6
1995,2455.4
1996,1803.6
1997,2282.8
1998,2776.6
1999,1892
2000,2140.8
2001,1443.8
2002,1214.4
2003,1968.2
2004,1778.2
2005,1360.2
2006,1803
2007,1808.4
2008,1962.7
2009,1742.4
2010,2257.2
2011,2686
2012,1723.7
2013,1759.4
2014,1547.4
2015,1743.8
2016,1355
2017,2197
2018,1914.2
2019,1074
2020,1749.8
2021,1779.8
2022,1972.2
2023,1365
2024,1982.4
2025,1504.2
Grand Total,146453.5
Average,1722.982353